series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status
31478.0,Bungou Stray Dogs,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
32867.0,Bungou Stray Dogs 2nd Season,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
54898.0,Bungou Stray Dogs 5th Season,TV,11.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
1536.0,Busou Renkin,TV,26.0,0.0,26.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
33475.0,Busou Shoujo Machiavellianism,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
10163.0,C: The Money of Soul and Possibility Control,TV,11.0,0.0,11.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
44511.0,Chainsaw Man,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
60509.0,Champignon no Majo,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
28999.0,Charlotte,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
40960.0,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
49613.0,Chiyu Mahou no Machigatta Tsukaikata,TV,13.0,0.0,13.0,2024-04-01,2024-04-01,,7.0,,0.0,Completed
39523.0,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
14741.0,Chuunibyou demo Koi ga Shitai!,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
15879.0,Chuunibyou demo Koi ga Shitai! Depth of Field: Ai to Nikushimi Gekijou,Special,7.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
16934.0,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,Special,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
15687.0,Chuunibyou demo Koi ga Shitai! Lite,ONA,6.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
35608.0,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
18671.0,Chuunibyou demo Koi ga Shitai! Ren,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
21797.0,Chuunibyou demo Koi ga Shitai! Ren Lite,ONA,6.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
23237.0,Chuunibyou demo Koi ga Shitai! Ren Specials,Special,7.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
27601.0,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,Special,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,On-Hold
59205.0,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,TV,12.0,0.0,12.0,2025-11-30,2025-12-01,,7.0,,0.0,Completed
1575.0,Code Geass: Hangyaku no Lelouch,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,9.0,,0.0,Completed
2904.0,Code Geass: Hangyaku no Lelouch R2,TV,25.0,0.0,25.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
37823.0,Conception,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
38940.0,Cop Craft,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
1482.0,D.Gray-man,TV,103.0,0.0,103.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
57334.0,Dandadan,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
52709.0,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
35849.0,Darling in the FranXX,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
15583.0,Date A Live,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
19163.0,Date A Live II,TV,10.0,0.0,10.0,0000-00-00,0000-00-00,,6.0,,0.0,Completed
22961.0,Date A Live II: Kurumi Star Festival,OVA,1.0,0.0,1.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
36633.0,Date A Live III,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
41461.0,Date A Live IV,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
24655.0,Date A Live Movie: Mayuri Judgment,Movie,1.0,0.0,1.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
52196.0,Date A Live V,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
17641.0,Date A Live: Date to Date,OVA,1.0,0.0,1.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
61196.0,Dead Account,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
53613.0,Dead Mount Death Play,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
54743.0,Dead Mount Death Play Part 2,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
6880.0,Deadman Wonderland,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
34497.0,Death March kara Hajimaru Isekai Kyousoukyoku,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
43814.0,Deatte 5-byou de Battle,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
55717.0,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,TV,12.0,0.0,12.0,2025-03-18,2025-03-21,,6.0,,0.0,Completed
33988.0,Demi-chan wa Kataritai,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
1726.0,Devil May Cry,TV,12.0,0.0,12.0,2025-08-13,2025-08-18,,6.0,,0.0,Completed
35120.0,Devilman: Crybaby,ONA,10.0,0.0,10.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
35928.0,Devils Line,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,7.0,,0.0,Completed
